seed,task_ms,duplicate_ratio,tasks,rep,arm,wall_seconds,executed,hits,misses,key_mismatches
1337,0.1000,0.2500,64,0,C,0.001088364,0,48,0,0
1337,0.1000,0.2500,64,1,A,0.004240072,64,0,0,0
1337,0.1000,0.2500,64,1,B,0.003730125,48,0,0,0
1337,0.1000,0.2500,64,1,C,0.001086630,0,48,0,0
1337,0.1000,0.2500,64,2,A,0.004272042,64,0,0,0
1337,0.1000,0.2500,64,2,B,0.003714145,48,0,0,0
1337,0.1000,0.2500,64,2,C,0.001093013,0,48,0,0
1337,0.1000,0.2500,64,3,A,0.004231847,64,0,0,0
1337,0.1000,0.2500,64,3,B,0.003756654,48,0,0,0
1337,0.1000,0.2500,64,3,C,0.001083976,0,48,0,0
1337,0.1000,0.2500,64,4,A,0.004316707,64,0,0,0
1337,0.1000,0.2500,64,4,B,0.003789476,48,0,0,0
1337,0.1000,0.2500,64,4,C,0.001094335,0,48,0,0
1337,0.1000,0.2500,64,5,A,0.004213653,64,0,0,0
1337,0.1000,0.2500,64,5,B,0.003756283,48,0,0,0
1337,0.1000,0.2500,64,5,C,0.001089906,0,48,0,0
1337,0.1000,0.2500,64,6,A,0.004385515,64,0,0,0
1337,0.1000,0.2500,64,6,B,0.003652850,48,0,0,0
1337,0.1000,0.2500,64,6,C,0.001084317,0,48,0,0
1337,0.1000,0.2500,64,7,A,0.004305395,64,0,0,0
1337,0.1000,0.2500,64,7,B,0.003718322,48,0,0,0
1337,0.1000,0.2500,64,7,C,0.001083194,0,48,0,0
1337,0.1000,0.2500,64,8,A,0.004266562,64,0,0,0
1337,0.1000,0.2500,64,8,B,0.003718754,48,0,0,0
1337,0.1000,0.2500,64,8,C,0.001079678,0,48,0,0
1337,0.1000,0.5000,64,0,A,0.004280559,64,0,0,0
1337,0.1000,0.5000,64,0,B,0.003205259,32,0,0,0
1337,0.1000,0.5000,64,0,C,0.001089436,0,32,0,0
1337,0.1000,0.5000,64,1,A,0.004733058,64,0,0,0
1337,0.1000,0.5000,64,1,B,0.003216550,32,0,0,0
1337,0.1000,0.5000,64,1,C,0.001091580,0,32,0,0
1337,0.1000,0.5000,64,2,A,0.004214304,64,0,0,0
1337,0.1000,0.5000,64,2,B,0.003568071,32,0,0,0
1337,0.1000,0.5000,64,2,C,0.001093343,0,32,0,0
1337,0.1000,0.5000,64,3,A,0.004306507,64,0,0,0
1337,0.1000,0.5000,64,3,B,0.003200660,32,0,0,0
1337,0.1000,0.5000,64,3,C,0.001084587,0,32,0,0
1337,0.1000,0.5000,64,4,A,0.004209826,64,0,0,0
1337,0.1000,0.5000,64,4,B,0.003241467,32,0,0,0
1337,0.1000,0.5000,64,4,C,0.001092652,0,32,0,0
1337,0.1000,0.5000,64,5,A,0.004234161,64,0,0,0
1337,0.1000,0.5000,64,5,B,0.002955890,32,0,0,0
1337,0.1000,0.5000,64,5,C,0.001073325,0,32,0,0
1337,0.1000,0.5000,64,6,A,0.004197071,64,0,0,0
1337,0.1000,0.5000,64,6,B,0.003207753,32,0,0,0
1337,0.1000,0.5000,64,6,C,0.001079246,0,32,0,0
1337,0.1000,0.5000,64,7,A,0.005299872,64,0,0,0
1337,0.1000,0.5000,64,7,B,0.004283243,32,0,0,0
1337,0.1000,0.5000,64,7,C,0.001091390,0,32,0,0
1337,0.1000,0.5000,64,8,A,0.004236476,64,0,0,0
1337,0.1000,0.5000,64,8,B,0.003209277,32,0,0,0
1337,0.1000,0.5000,64,8,C,0.001093473,0,32,0,0
1337,0.1000,0.7500,64,0,A,0.004234331,64,0,0,0
1337,0.1000,0.7500,64,0,B,0.002699960,16,0,0,0
1337,0.1000,0.7500,64,0,C,0.001085749,0,16,0,0
1337,0.1000,0.7500,64,1,A,0.004217089,64,0,0,0
1337,0.1000,0.7500,64,1,B,0.002437868,16,0,0,0
1337,0.1000,0.7500,64,1,C,0.001084837,0,16,0,0
1337,0.1000,0.7500,64,2,A,0.004274657,64,0,0,0
1337,0.1000,0.7500,64,2,B,0.002701072,16,0,0,0
1337,0.1000,0.7500,64,2,C,0.001092351,0,16,0,0
1337,0.1000,0.7500,64,3,A,0.004211439,64,0,0,0
1337,0.1000,0.7500,64,3,B,0.002696794,16,0,0,0
1337,0.1000,0.7500,64,3,C,0.001080810,0,16,0,0
1337,0.1000,0.7500,64,4,A,0.004263446,64,0,0,0
1337,0.1000,0.7500,64,4,B,0.002700471,16,0,0,0
1337,0.1000,0.7500,64,4,C,0.001081310,0,16,0,0
1337,0.1000,0.7500,64,5,A,0.004278815,64,0,0,0
1337,0.1000,0.7500,64,5,B,0.002697044,16,0,0,0
1337,0.1000,0.7500,64,5,C,0.001090288,0,16,0,0
1337,0.1000,0.7500,64,6,A,0.004218692,64,0,0,0
1337,0.1000,0.7500,64,6,B,0.002679202,16,0,0,0
1337,0.1000,0.7500,64,6,C,0.001079688,0,16,0,0
1337,0.1000,0.7500,64,7,A,0.004283434,64,0,0,0
1337,0.1000,0.7500,64,7,B,0.002704709,16,0,0,0
1337,0.1000,0.7500,64,7,C,0.001087843,0,16,0,0
1337,0.1000,0.7500,64,8,A,0.004241885,64,0,0,0
1337,0.1000,0.7500,64,8,B,0.002724496,16,0,0,0
1337,0.1000,0.7500,64,8,C,0.001092010,0,16,0,0
1337,0.5000,0.2500,64,0,A,0.011122768,64,0,0,0
1337,0.5000,0.2500,64,0,B,0.008873974,48,0,0,0
1337,0.5000,0.2500,64,0,C,0.001088795,0,48,0,0
1337,0.5000,0.2500,64,1,A,0.011136863,64,0,0,0
1337,0.5000,0.2500,64,1,B,0.008900224,48,0,0,0
1337,0.5000,0.2500,64,1,C,0.001086471,0,48,0,0
1337,0.5000,0.2500,64,2,A,0.011183261,64,0,0,0
1337,0.5000,0.2500,64,2,B,0.008885566,48,0,0,0
1337,0.5000,0.2500,64,2,C,0.001091730,0,48,0,0
1337,0.5000,0.2500,64,3,A,0.011122256,64,0,0,0
1337,0.5000,0.2500,64,3,B,0.008896306,48,0,0,0
1337,0.5000,0.2500,64,3,C,0.001087442,0,48,0,0
1337,0.5000,0.2500,64,4,A,0.011185875,64,0,0,0
1337,0.5000,0.2500,64,4,B,0.008886958,48,0,0,0
1337,0.5000,0.2500,64,4,C,0.001094575,0,48,0,0
1337,0.5000,0.2500,64,5,A,0.011198249,64,0,0,0
1337,0.5000,0.2500,64,5,B,0.008914120,48,0,0,0
1337,0.5000,0.2500,64,5,C,0.001065301,0,48,0,0
1337,0.5000,0.2500,64,6,A,0.011442707,64,0,0,0
1337,0.5000,0.2500,64,6,B,0.008958753,48,0,0,0
1337,0.5000,0.2500,64,6,C,0.001083715,0,48,0,0
1337,0.5000,0.2500,64,7,A,0.011118729,64,0,0,0
1337,0.5000,0.2500,64,7,B,0.008878463,48,0,0,0
1337,0.5000,0.2500,64,7,C,0.001100967,0,48,0,0
1337,0.5000,0.2500,64,8,A,0.011129840,64,0,0,0
1337,0.5000,0.2500,64,8,B,0.008921754,48,0,0,0
1337,0.5000,0.2500,64,8,C,0.001091129,0,48,0,0
1337,0.5000,0.5000,64,0,A,0.011224839,64,0,0,0
1337,0.5000,0.5000,64,0,B,0.006700052,32,0,0,0
1337,0.5000,0.5000,64,0,C,0.001094084,0,32,0,0
1337,0.5000,0.5000,64,1,A,0.011187849,64,0,0,0
1337,0.5000,0.5000,64,1,B,0.007172148,32,0,0,0
1337,0.5000,0.5000,64,1,C,0.001083355,0,32,0,0
1337,0.5000,0.5000,64,2,A,0.011144408,64,0,0,0
1337,0.5000,0.5000,64,2,B,0.006633356,32,0,0,0
1337,0.5000,0.5000,64,2,C,0.001083785,0,32,0,0
1337,0.5000,0.5000,64,3,A,0.010194534,64,0,0,0
1337,0.5000,0.5000,64,3,B,0.006102850,32,0,0,0
1337,0.5000,0.5000,64,3,C,0.001087812,0,32,0,0
1337,0.5000,0.5000,64,4,A,0.010055042,64,0,0,0
1337,0.5000,0.5000,64,4,B,0.006121235,32,0,0,0
1337,0.5000,0.5000,64,4,C,0.001081421,0,32,0,0
1337,0.5000,0.5000,64,5,A,0.010633518,64,0,0,0
1337,0.5000,0.5000,64,5,B,0.006182060,32,0,0,0
1337,0.5000,0.5000,64,5,C,0.001066763,0,32,0,0
1337,0.5000,0.5000,64,6,A,0.010110856,64,0,0,0
1337,0.5000,0.5000,64,6,B,0.006185555,32,0,0,0
1337,0.5000,0.5000,64,6,C,0.001090347,0,32,0,0
1337,0.5000,0.5000,64,7,A,0.010631424,64,0,0,0
1337,0.5000,0.5000,64,7,B,0.006128399,32,0,0,0
1337,0.5000,0.5000,64,7,C,0.001084397,0,32,0,0
1337,0.5000,0.5000,64,8,A,0.010025977,64,0,0,0
1337,0.5000,0.5000,64,8,B,0.006131905,32,0,0,0
1337,0.5000,0.5000,64,8,C,0.001088234,0,32,0,0
1337,0.5000,0.7500,64,0,A,0.010066313,64,0,0,0
1337,0.5000,0.7500,64,0,B,0.004154451,16,0,0,0
1337,0.5000,0.7500,64,0,C,0.001090818,0,16,0,0
1337,0.5000,0.7500,64,1,A,0.010034223,64,0,0,0
1337,0.5000,0.7500,64,1,B,0.004167606,16,0,0,0
1337,0.5000,0.7500,64,1,C,0.001091489,0,16,0,0
1337,0.5000,0.7500,64,2,A,0.010073517,64,0,0,0
1337,0.5000,0.7500,64,2,B,0.004147348,16,0,0,0
1337,0.5000,0.7500,64,2,C,0.001082192,0,16,0,0
1337,0.5000,0.7500,64,3,A,0.010134020,64,0,0,0
1337,0.5000,0.7500,64,3,B,0.004181452,16,0,0,0
1337,0.5000,0.7500,64,3,C,0.001063888,0,16,0,0
1337,0.5000,0.7500,64,4,A,0.010085389,64,0,0,0
1337,0.5000,0.7500,64,4,B,0.004128032,16,0,0,0
1337,0.5000,0.7500,64,4,C,0.001086731,0,16,0,0
1337,0.5000,0.7500,64,5,A,0.010138309,64,0,0,0
1337,0.5000,0.7500,64,5,B,0.004148901,16,0,0,0
1337,0.5000,0.7500,64,5,C,0.001107660,0,16,0,0
1337,0.5000,0.7500,64,6,A,0.009752705,64,0,0,0
1337,0.5000,0.7500,64,6,B,0.004140816,16,0,0,0
1337,0.5000,0.7500,64,6,C,0.001087743,0,16,0,0
1337,0.5000,0.7500,64,7,A,0.010234269,64,0,0,0
1337,0.5000,0.7500,64,7,B,0.004194016,16,0,0,0
1337,0.5000,0.7500,64,7,C,0.001097441,0,16,0,0
1337,0.5000,0.7500,64,8,A,0.010568958,64,0,0,0
1337,0.5000,0.7500,64,8,B,0.005217577,16,0,0,0
1337,0.5000,0.7500,64,8,C,0.001096038,0,16,0,0
1337,1.0000,0.2500,64,0,A,0.017760682,64,0,0,0
1337,1.0000,0.2500,64,0,B,0.014814841,48,0,0,0
1337,1.0000,0.2500,64,0,C,0.001093273,0,48,0,0
1337,1.0000,0.2500,64,1,A,0.017935921,64,0,0,0
1337,1.0000,0.2500,64,1,B,0.013874755,48,0,0,0
1337,1.0000,0.2500,64,1,C,0.001081882,0,48,0,0
1337,1.0000,0.2500,64,2,A,0.018012455,64,0,0,0
1337,1.0000,0.2500,64,2,B,0.014736703,48,0,0,0
1337,1.0000,0.2500,64,2,C,0.001090398,0,48,0,0
1337,1.0000,0.2500,64,3,A,0.017729874,64,0,0,0
1337,1.0000,0.2500,64,3,B,0.014194996,48,0,0,0
1337,1.0000,0.2500,64,3,C,0.001090077,0,48,0,0
1337,1.0000,0.2500,64,4,A,0.018361480,64,0,0,0
1337,1.0000,0.2500,64,4,B,0.013831213,48,0,0,0
1337,1.0000,0.2500,64,4,C,0.001089176,0,48,0,0
1337,1.0000,0.2500,64,5,A,0.017985083,64,0,0,0
1337,1.0000,0.2500,64,5,B,0.014643358,48,0,0,0
1337,1.0000,0.2500,64,5,C,0.001090017,0,48,0,0
1337,1.0000,0.2500,64,6,A,0.017731668,64,0,0,0
1337,1.0000,0.2500,64,6,B,0.013883782,48,0,0,0
1337,1.0000,0.2500,64,6,C,0.001107860,0,48,0,0
1337,1.0000,0.2500,64,7,A,0.017996024,64,0,0,0
1337,1.0000,0.2500,64,7,B,0.014791607,48,0,0,0
1337,1.0000,0.2500,64,7,C,0.001115885,0,48,0,0
1337,1.0000,0.2500,64,8,A,0.017952512,64,0,0,0
1337,1.0000,0.2500,64,8,B,0.014587023,48,0,0,0
1337,1.0000,0.2500,64,8,C,0.001104494,0,48,0,0
1337,1.0000,0.5000,64,0,A,0.017854568,64,0,0,0
1337,1.0000,0.5000,64,0,B,0.010515647,32,0,0,0
1337,1.0000,0.5000,64,0,C,0.001089406,0,32,0,0
1337,1.0000,0.5000,64,1,A,0.017812780,64,0,0,0
1337,1.0000,0.5000,64,1,B,0.010539953,32,0,0,0
1337,1.0000,0.5000,64,1,C,0.001088464,0,32,0,0
1337,1.0000,0.5000,64,2,A,0.017758618,64,0,0,0
1337,1.0000,0.5000,64,2,B,0.010515306,32,0,0,0
1337,1.0000,0.5000,64,2,C,0.001085077,0,32,0,0
1337,1.0000,0.5000,64,3,A,0.017876790,64,0,0,0
1337,1.0000,0.5000,64,3,B,0.010506109,32,0,0,0
1337,1.0000,0.5000,64,3,C,0.001088514,0,32,0,0
1337,1.0000,0.5000,64,4,A,0.017866672,64,0,0,0
1337,1.0000,0.5000,64,4,B,0.010509465,32,0,0,0
1337,1.0000,0.5000,64,4,C,0.001087332,0,32,0,0
1337,1.0000,0.5000,64,5,A,0.017810716,64,0,0,0
1337,1.0000,0.5000,64,5,B,0.010540914,32,0,0,0
1337,1.0000,0.5000,64,5,C,0.001087261,0,32,0,0
1337,1.0000,0.5000,64,6,A,0.017804535,64,0,0,0
1337,1.0000,0.5000,64,6,B,0.010511950,32,0,0,0
1337,1.0000,0.5000,64,6,C,0.001086159,0,32,0,0
1337,1.0000,0.5000,64,7,A,0.017817449,64,0,0,0
1337,1.0000,0.5000,64,7,B,0.010511860,32,0,0,0
1337,1.0000,0.5000,64,7,C,0.001087101,0,32,0,0
1337,1.0000,0.5000,64,8,A,0.017947113,64,0,0,0
1337,1.0000,0.5000,64,8,B,0.010551694,32,0,0,0
1337,1.0000,0.5000,64,8,C,0.001083825,0,32,0,0
1337,1.0000,0.7500,64,0,A,0.017840172,64,0,0,0
1337,1.0000,0.7500,64,0,B,0.006060611,16,0,0,0
1337,1.0000,0.7500,64,0,C,0.001090939,0,16,0,0
1337,1.0000,0.7500,64,1,A,0.017956359,64,0,0,0
1337,1.0000,0.7500,64,1,B,0.006068486,16,0,0,0
1337,1.0000,0.7500,64,1,C,0.001102671,0,16,0,0
1337,1.0000,0.7500,64,2,A,0.017840953,64,0,0,0
1337,1.0000,0.7500,64,2,B,0.005810602,16,0,0,0
1337,1.0000,0.7500,64,2,C,0.001082513,0,16,0,0
1337,1.0000,0.7500,64,3,A,0.017833098,64,0,0,0
1337,1.0000,0.7500,64,3,B,0.007268088,16,0,0,0
1337,1.0000,0.7500,64,3,C,0.001087994,0,16,0,0
1337,1.0000,0.7500,64,4,A,0.017912618,64,0,0,0
1337,1.0000,0.7500,64,4,B,0.006041295,16,0,0,0
1337,1.0000,0.7500,64,4,C,0.001086731,0,16,0,0
1337,1.0000,0.7500,64,5,A,0.017806608,64,0,0,0
1337,1.0000,0.7500,64,5,B,0.006032659,16,0,0,0
1337,1.0000,0.7500,64,5,C,0.001092301,0,16,0,0
1337,1.0000,0.7500,64,6,A,0.017849429,64,0,0,0
1337,1.0000,0.7500,64,6,B,0.006045392,16,0,0,0
1337,1.0000,0.7500,64,6,C,0.001089516,0,16,0,0
1337,1.0000,0.7500,64,7,A,0.017832447,64,0,0,0
1337,1.0000,0.7500,64,7,B,0.006027930,16,0,0,0
1337,1.0000,0.7500,64,7,C,0.001056234,0,16,0,0
1337,1.0000,0.7500,64,8,A,0.017804605,64,0,0,0
1337,1.0000,0.7500,64,8,B,0.006054871,16,0,0,0
1337,1.0000,0.7500,64,8,C,0.001089125,0,16,0,0
1337,5.0000,0.2500,64,0,A,0.077880058,64,0,0,0
1337,5.0000,0.2500,64,0,B,0.057866646,48,0,0,0
1337,5.0000,0.2500,64,0,C,0.001134381,0,48,0,0
1337,5.0000,0.2500,64,1,A,0.078997958,64,0,0,0
1337,5.0000,0.2500,64,1,B,0.060597374,48,0,0,0
1337,5.0000,0.2500,64,1,C,0.001091249,0,48,0,0
1337,5.0000,0.2500,64,2,A,0.077832348,64,0,0,0
1337,5.0000,0.2500,64,2,B,0.057270306,48,0,0,0
1337,5.0000,0.2500,64,2,C,0.001098012,0,48,0,0
1337,5.0000,0.2500,64,3,A,0.076654347,64,0,0,0
1337,5.0000,0.2500,64,3,B,0.056098556,48,0,0,0
1337,5.0000,0.2500,64,3,C,0.001088834,0,48,0,0
1337,5.0000,0.2500,64,4,A,0.074185150,64,0,0,0
1337,5.0000,0.2500,64,4,B,0.060614827,48,0,0,0
1337,5.0000,0.2500,64,4,C,0.001086320,0,48,0,0
1337,5.0000,0.2500,64,5,A,0.078576396,64,0,0,0
1337,5.0000,0.2500,64,5,B,0.059630228,48,0,0,0
1337,5.0000,0.2500,64,5,C,0.001092562,0,48,0,0
1337,5.0000,0.2500,64,6,A,0.078814322,64,0,0,0
1337,5.0000,0.2500,64,6,B,0.059665373,48,0,0,0
1337,5.0000,0.2500,64,6,C,0.001088524,0,48,0,0
1337,5.0000,0.2500,64,7,A,0.079839989,64,0,0,0
1337,5.0000,0.2500,64,7,B,0.060100370,48,0,0,0
1337,5.0000,0.2500,64,7,C,0.001097581,0,48,0,0
1337,5.0000,0.2500,64,8,A,0.078851122,64,0,0,0
1337,5.0000,0.2500,64,8,B,0.057444482,48,0,0,0
1337,5.0000,0.2500,64,8,C,0.001097251,0,48,0,0
1337,5.0000,0.5000,64,0,A,0.077630038,64,0,0,0
1337,5.0000,0.5000,64,0,B,0.041031572,32,0,0,0
1337,5.0000,0.5000,64,0,C,0.001112028,0,32,0,0
1337,5.0000,0.5000,64,1,A,0.076879059,64,0,0,0
1337,5.0000,0.5000,64,1,B,0.040835063,32,0,0,0
1337,5.0000,0.5000,64,1,C,0.001095177,0,32,0,0
