rep,workload,config,policy,baseline_seconds,ordered_seconds,ratio
19,ZIPF,sgee_w4,LPT(λ=1.0),0.098809,0.094288,0.954247
20,ZIPF,sgee_w4,LPT(λ=1.0),0.103098,0.103125,1.000260
21,ZIPF,sgee_w4,LPT(λ=1.0),0.100147,0.093660,0.935229
22,ZIPF,sgee_w4,LPT(λ=1.0),0.098981,0.098696,0.997116
23,ZIPF,sgee_w4,LPT(λ=1.0),0.098092,0.106187,1.082525
24,ZIPF,sgee_w4,LPT(λ=1.0),0.104152,0.095585,0.917737
25,ZIPF,sgee_w4,LPT(λ=1.0),0.094854,0.097547,1.028395
26,ZIPF,sgee_w4,LPT(λ=1.0),0.099988,0.100475,1.004876
27,ZIPF,sgee_w4,LPT(λ=1.0),0.098991,0.102970,1.040199
28,ZIPF,sgee_w4,LPT(λ=1.0),0.094816,0.095905,1.011487
29,ZIPF,sgee_w4,LPT(λ=1.0),0.095340,0.099814,1.046925
0,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.104503,0.093515,0.894855
1,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095647,0.095602,0.999530
2,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.101776,0.090704,0.891212
3,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.098144,0.095291,0.970936
4,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095207,0.085894,0.902182
5,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095839,0.098934,1.032299
6,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.094028,0.092699,0.985865
7,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095717,0.099423,1.038717
8,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.088020,0.091978,1.044972
9,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095616,0.100645,1.052591
10,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.098641,0.095992,0.973137
11,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095177,0.102992,1.082116
12,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.099396,0.095032,0.956094
13,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.099020,0.091860,0.927687
14,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.097725,0.093478,0.956548
15,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.096157,0.094972,0.987676
16,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.096106,0.101132,1.052295
17,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095569,0.092244,0.965210
18,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.103517,0.095786,0.925312
19,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.099485,0.095448,0.959420
20,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095974,0.103008,1.073289
21,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.097630,0.093358,0.956237
22,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.090250,0.095626,1.059570
23,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.094415,0.095036,1.006574
24,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.095962,0.104352,1.087424
25,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.106872,0.094600,0.885165
26,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.097153,0.095436,0.982321
27,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.092337,0.098637,1.068230
28,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.093052,0.108249,1.163316
29,SANITY-FLOOR-SKEW,sgee_w33,LPT(λ=0),0.087785,0.100645,1.146490
0,SKEW-LAST,local_parallel,LPT(λ=0),0.103703,0.086822,0.837217
1,SKEW-LAST,local_parallel,LPT(λ=0),0.093708,0.089491,0.955003
2,SKEW-LAST,local_parallel,LPT(λ=0),0.101232,0.093581,0.924428
3,SKEW-LAST,local_parallel,LPT(λ=0),0.088958,0.083192,0.935177
4,SKEW-LAST,local_parallel,LPT(λ=0),0.097009,0.092447,0.952976
5,SKEW-LAST,local_parallel,LPT(λ=0),0.095410,0.092170,0.966046
6,SKEW-LAST,local_parallel,LPT(λ=0),0.090382,0.091464,1.011969
7,SKEW-LAST,local_parallel,LPT(λ=0),0.094532,0.102958,1.089133
8,SKEW-LAST,local_parallel,LPT(λ=0),0.091563,0.091116,0.995109
9,SKEW-LAST,local_parallel,LPT(λ=0),0.091588,0.090517,0.988301
10,SKEW-LAST,local_parallel,LPT(λ=0),0.093747,0.092889,0.990850
11,SKEW-LAST,local_parallel,LPT(λ=0),0.093010,0.092278,0.992126
12,SKEW-LAST,local_parallel,LPT(λ=0),0.091863,0.092342,1.005216
13,SKEW-LAST,local_parallel,LPT(λ=0),0.095743,0.092651,0.967708
14,SKEW-LAST,local_parallel,LPT(λ=0),0.095887,0.083161,0.867283
15,SKEW-LAST,local_parallel,LPT(λ=0),0.095059,0.091867,0.966416
16,SKEW-LAST,local_parallel,LPT(λ=0),0.084450,0.092808,1.098977
17,SKEW-LAST,local_parallel,LPT(λ=0),0.092402,0.092868,1.005039
18,SKEW-LAST,local_parallel,LPT(λ=0),0.094788,0.091113,0.961228
19,SKEW-LAST,local_parallel,LPT(λ=0),0.092229,0.091683,0.994081
20,SKEW-LAST,local_parallel,LPT(λ=0),0.083969,0.090129,1.073361
21,SKEW-LAST,local_parallel,LPT(λ=0),0.094992,0.091304,0.961172
22,SKEW-LAST,local_parallel,LPT(λ=0),0.083086,0.083038,0.999422
23,SKEW-LAST,local_parallel,LPT(λ=0),0.094150,0.091891,0.975999
24,SKEW-LAST,local_parallel,LPT(λ=0),0.087665,0.091094,1.039116
25,SKEW-LAST,local_parallel,LPT(λ=0),0.094128,0.091801,0.975279
26,SKEW-LAST,local_parallel,LPT(λ=0),0.097535,0.083051,0.851499
27,SKEW-LAST,local_parallel,LPT(λ=0),0.097115,0.091878,0.946070
28,SKEW-LAST,local_parallel,LPT(λ=0),0.091573,0.090744,0.990952
29,SKEW-LAST,local_parallel,LPT(λ=0),0.094083,0.090250,0.959259
